;link;russian_name;original_name;country;film_type;rate
56;kinopoisk.ru/film/77335/;Собачье сердце;1988;СССР;фантастика, драма;8.3
57;kinopoisk.ru/film/725190/;Одержимость;Whiplash, 2013;США;драма, музыка;8.3
58;kinopoisk.ru/film/407636/;Гарри Поттер и Дары Смерти: Часть II;Harry Potter and the Deathly Hallows: Part 2, 2011;Великобритания, США;фэнтези, детектив;8.3
59;kinopoisk.ru/film/355/;Пианист;Pianist, The, 2002;Франция, Польша;драма, военный;8.3
60;kinopoisk.ru/film/41520/;Брат 2;2000;Россия, США;боевик, криминал;8.3
61;kinopoisk.ru/film/649917/;По соображениям совести;Hacksaw Ridge, 2016;Австралия, США;драма, военный;8.3
62;kinopoisk.ru/film/530/;Игры разума;A Beautiful Mind, 2001;США;драма, биография;8.3
63;kinopoisk.ru/film/1108577/;Зеленая книга;Green Book, 2018;США, Китай;биография, комедия;8.3
64;kinopoisk.ru/film/44745/;Кавказская пленница, или Новые приключения Шурика;1966;СССР;комедия, приключения;8.3
65;kinopoisk.ru/film/42736/;Офицеры;1971;СССР;драма, военный;8.3
66;kinopoisk.ru/film/77269/;Шерлок Холмс и доктор Ватсон: Знакомство;1979;СССР;криминал, детектив;8.3
67;kinopoisk.ru/film/958722/;Твоё имя;Kimi no na wa., 2016;Япония;аниме, мультфильм;8.3
68;kinopoisk.ru/film/4541/;Шоу Трумана;Truman Show, The, 1998;США;драма, комедия;8.3
69;kinopoisk.ru/film/688/;Гарри Поттер и Тайная комната;Harry Potter and the Chamber of Secrets, 2002;Великобритания, США;фэнтези, приключения;8.3
70;kinopoisk.ru/film/586397/;Джанго освобожденный;Django Unchained, 2012;США;вестерн, боевик;8.3
71;kinopoisk.ru/film/46225/;Бриллиантовая рука;1968;СССР;комедия, криминал;8.3
72;kinopoisk.ru/film/462682/;Волк с Уолл-стрит;Wolf of Wall Street, The, 2013;США;драма, криминал;8.3
73;kinopoisk.ru/film/458/;Корпорация монстров;Monsters, Inc., 2001;США;мультфильм, фэнтези;8.3
74;kinopoisk.ru/film/63912/;Укрощение строптивого;Il bisbetico domato, 1980;Италия;мелодрама, комедия;8.3
75;kinopoisk.ru/film/44168/;Девчата;1962;СССР;мелодрама, комедия;8.3
76;kinopoisk.ru/film/89514/;Рататуй;Ratatouille, 2007;США;мультфильм, приключения;8.3
77;kinopoisk.ru/film/345/;Молчание ягнят;Silence of the Lambs, The, 1990;США;триллер, детектив;8.3
78;kinopoisk.ru/film/538/;Стальной гигант;Iron Giant, The, 1999;США;мультфильм, фантастика;8.3
79;kinopoisk.ru/film/387556/;Хатико: Самый верный друг;Hachi: A Dog's Tale, 2008;США, Великобритания;драма, семейный;8.3
80;kinopoisk.ru/film/278522/;Хоббит: Нежданное путешествие;Hobbit: An Unexpected Journey, The, 2012;Новая Зеландия, США;фэнтези, приключения;8.3
