;company;topic;link
82;Чемпионат.com;"Антон Смольский написал пост после завоевания серебра Олимпиады, Легрейд 
отреагировал";https://www.championat.com/olympicwinter/news-4603735-anton-smolskij-napisal-post-posle-zavoevaniya-serebra-olimpiady-legrejd-otreagiroval.html
83;Чемпионат;Зимние Олимпийские игры стартуют: статистика, сборная ...;https://www.championat.com/olympicwinter/article-4597051-zimnie-olimpijskie-igry-startuyut-statistika-sbornaya-rossii-intervyu-gid-na-chempionate.html
84;РБК Спорт;Российских олимпийцев попросили внимательнее следить за допинг-паспортом;https://sportrbc.ru/news/620396ce9a7947e6ca4f5109
85;Спорт-Экспресс;Олимпиада-2022, фристайл, женщины: расписание соревнований;https://www.sport-express.ru/olympics/beijing2022/freestyle/news/olimpiada-2022-fristayl-zhenschiny-rezultaty-raspisanie-startov-zimnih-olimpiyskih-igr-v-pekine-kalendar-sbornoy-rossii-1886446/
86;Sports.ru;"Олимпиада-2022. Горные лыжи. Штрольц выиграл суперкомбинацию, Кильде – 2-й, 
Пинтуро не финишировал в слаломе";https://www.sports.ru/skiing/1106374036-olimpiada-2022-gornye-lyzhi-shvarcz-pinturo-kilde-vystupyat-v-superkom.html
87;Чемпионат.com;"Марк Кондратюк допустил ошибки в произвольной программе на Олимпиаде в 
Пекине";https://www.championat.com/olympicwinter/news-4604779-mark-kondratyuk-dopustil-oshibki-v-proizvolnoj-programme-na-olimpiade-v-pekine.html
88;Чемпионат.com;"«Я думал, что так будет лучше» Латыпов объяснил, почему упустил золото на 
финишной прямой";https://www.championat.com/olympicwinter/article-4598993-zimnyaya-olimpiada-2022-v-pekine-latypov-rasskazal-pochemu-upustil-zoloto-v-estafete-na-finishnoj-pryamoj.html
89;Sportbox;Олимпиада-2022 в Пекине, расписание на 8 февраля, на ...;https://news.sportbox.ru/olympics/spbnews_NI1482773_Olimpiada_2022_v_Pekine_raspisanije_na_8_fevrala_na_kakije_medali_pretendujet_sbornaja_Rossii
90;Чемпионат.com;"Мозалёв: Олимпиада не придавила, наоборот. Получаю удовольствие, находясь 
здесь";https://www.championat.com/olympicwinter/news-4602519-mozalyov-olimpiada-ne-pridavila-naoborot-poluchayu-udovolstvie-nahodyas-zdes.html
91;Sports.ru;"Олимпиада-2022. Керлинг. Дабл-микст. Норвегия обыграла Швецию, Китай 
уступил Италии и другие результаты";https://www.sports.ru/curling/1106158400-olimpiada-2022-kerling-dabl-mikst-ssha-sygrayut-s-chexiej-velikobritan.html
92;Спорт-Экспресс;«Будущее у нас офигенное». Самая дикая медаль России на Олимпиаде;https://www.sport-express.ru/olympics/beijing2022/reviews/pryzhki-na-lyzhah-s-tramplina-olimpiada-2022-kak-rossiyskim-lyzhnikam-udalos-zavoevat-serebro-komandnyh-sorevnovaniy-v-mikste-intervyu-1888691/
93;Спорт-Экспресс;"«Русские вообще не должны были выходить на эту Олимпиаду». Лицемерная 
реакция Норвегии на провал в л...";https://www.sport-express.ru/olympics/beijing2022/skiing/reviews/olimpiada-2022-lyzhnye-gonki-reakciya-norvezhskih-smi-na-pobedu-aleksandra-bolshunova-dopingovye-obvineniya-1888484/
94;Спорт-Экспресс;"«Я вырос в советском менталитете. Каждая культура достойна уважения». 
Латвийский фигурист — о мотива...";https://www.sport-express.ru/olympics/beijing2022/figure-skating/reviews/olimpiada-2022-figurnoe-katanie-kto-takoy-denis-vasilev-i-kakoe-otnoshenie-latviyskiy-sportsmen-imeet-k-sovetskomu-soyuzu-1889437/
95;РБК Спорт;МОК заявил, что дата награждения российских фигуристов еще не определена;https://sportrbc.ru/news/62034e279a7947c2aa2a5a88
96;РБК Стиль;Олимпиада-2022: как выглядит форма спортсменов из разных стран;https://style.rbc.ru/items/61fbf8509a794705c7f1af09
97;Спорт-Экспресс;На Олимпиаде-2022 Россия поборется за третье место. Прогноз журналистов «СЭ»;https://www.sport-express.ru/olympics/beijing2022/reviews/olimpiada-2022-medalnyy-prognoz-igr-v-pekine-skolko-nagrad-vyigraet-kakoe-mesto-zaymet-rossiya-v-kitae-1886149/
